name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_food_quality,div2_food_quality,div3_food_quality,div4_food_quality,total_food_quality,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_wait time,div2_wait time,div3_wait time,div4_wait time,total_wait time,michelin__0.5,michelin__1.0,security,at_risk,actual
aska,0.05275731634481386,0.6537681689886611,0.7420472440944883,1.0,0.1562175268444752,0.8717948717948717,0.1428571428571428,1.0,0.7952167414050821,1.0,0.874014368319608,0.0,0.0,0.1836734693877554,0.0,0.3497583410959762,0.883220608395573,1.0,0.7113248654051862,1.0,0.6110495152710724,0.33333333333333337,1.0,1.0,1.0,1.0,0.6310746041659502,0.0,0.07685863390656184,0.0,0.4726454712213274,0.44483686255330407,0.0,0.04126984126984126,0.0,0.2233937414660306,0.0,0.0018963337547408345,0.0018796992481203006,0.0008410428931875525,0.0014668901927912825,0.5262599469496021,0.7632417363600159,0.5864304235090753,0.4086845466155811,0.6611237087427564,0.1818181818181818,0.07692307692307691,0.0,0.17910447761194032,0.0,0.0,1.0,1.0,1.0,0.7777777777777778,0.1798107255520505,0.06488549618320609,0.0,0.03908998514580564,0.016728189881240706,0.3333333333333333,0.0,0.1505911636589919,0.018181818181818177,0.0,0.2,1.0,1.0,0.5854503464203233,0.9140461215932912,1,0,0.6998072231053873,0.0,0
blanca,0.4457495520605216,0.6664412510566358,0.741705922053861,0.19051745481554838,0.27301201514097795,0.7665092807543582,0.8351648351648349,0.3388888888888886,0.47341447789878277,0.2300956125457958,0.39022954266690046,0.12330640335128659,0.11191341508692329,0.46892874796977646,0.12062497623968664,0.2210257638592079,0.7403208490843578,0.8473588780277914,0.4583310500186424,0.7901706439321047,0.7451087585891313,0.9999999999999999,0.0,1.0,0.0,1.0,0.30535240827622967,0.6956306661977498,0.6858509452614676,1.0,0.8776964042716935,0.09324009324009326,0.4839020237547253,0.5777777777777774,1.0,0.7703509780714599,0.02962962962962963,0.03160556257901391,0.03070175438596491,0.031118587047939447,0.03101424979044426,0.7861660885533563,0.6324014336917563,0.44532834741502475,0.3494839502099031,0.5507742144476837,0.1818181818181818,0.25692307692307687,0.02040816326530612,0.17910447761194032,0.04,0.9230769230769231,0.09657360406091373,0.46938775510204084,0.21490013121446275,0.31333333333333335,0.3457898568308664,0.06488549618320609,0.0,0.03908998514580564,0.03245268836960698,0.641025641025641,0.392,0.5378255844963997,0.12153110047846888,0.44289508632138114,0.5076923076923077,0.16158192090395482,0.5403726708074534,0.27999270694056155,0.35018867924528296,1,0,0.3214755041038664,1.0,0
cafe-boulud,0.9124029464463468,0.6343677375256322,0.733612670797777,0.20925214640187845,0.1567699365050565,0.7691668658412738,0.5714285714285714,0.4197322322322319,0.4390719438487034,0.4396902860362246,0.4334874280143426,0.39843905844803507,0.19440593254195698,0.4351546639030095,0.22011077933892567,0.24330528596960166,0.5146555871341353,0.7221865925606495,0.46672162778542026,0.6949197502711386,0.7130144249694091,0.6666666666666666,0.0,1.0,0.0,0.0,0.6822422923379535,0.624362625707808,0.7612865104265363,0.6943879173657033,0.7966156103879484,0.4654545454545456,0.38982868838074836,0.670132143899287,0.4821745797834788,0.6345964307137635,0.18518518518518517,0.18710493046776233,0.18734335839598998,0.18671152228763666,0.18692372170997487,0.41703196984503693,0.46765919144951396,0.2860875924646546,0.4255922800327729,0.3932461234200722,0.2033492822966507,0.15800415800415799,0.020066889632107024,0.2031992503848471,0.031879194630872486,0.6973684210526316,0.464184044450542,0.35785953177257523,0.4871619691191633,0.42841163310961966,0.1798107255520505,0.06488549618320609,0.0,0.03908998514580564,0.016728189881240706,0.49122807017543857,0.39729729729729724,0.5031457274091402,0.19869547492865877,0.45879123327718213,0.25263157894736843,0.24110551229195298,0.3241238912316417,0.18577242929193546,0.23679878434848675,0,0,0.6058514777562894,0.0,0
cote,0.08381445351383635,0.6493599423831983,0.7648398901772471,0.21252460456252892,0.1377865588069243,0.7695600891351132,0.5614617940199336,0.20524691358024683,0.4692599570143545,0.3324440132589537,0.32824262001245286,0.24982065217819824,0.13285588911491847,0.5127398562554608,0.1520935494144684,0.21367076781586783,0.5989453366720734,0.8002172698019849,0.4191577493049884,0.7516859231864432,0.759174997042436,0.9999999999999999,0.0,1.0,0.0,0.0,0.7839115164864313,0.78610248470439,0.6604077511083573,0.8819738315137318,0.8972526996872002,0.6145172656800565,0.6179571164584158,0.5479155764870051,0.7778778394750124,0.805062407095969,0.1037037037037037,0.10619469026548674,0.10588972431077694,0.10513036164844407,0.10561609388097233,0.43662944913947316,0.49903638277294193,0.33687152552254607,0.47933448699732223,0.4460052419236093,0.3340380549682875,0.4697802197802197,0.14201183431952663,0.32125088841506755,0.18972332015810275,0.5,0.043993231810490696,0.05917159763313609,0.01343270456843864,0.037549407114624504,0.1798107255520505,0.06488549618320609,0.0,0.03908998514580564,0.016728189881240706,0.4263565891472868,0.15,0.3751413011860094,0.07272727272727271,0.2112104939924098,0.2,0.20197740112994353,0.43452534087985595,0.13141977345210598,0.21724215079424264,0,0,0.42504951602713814,1.0,0
daniel,0.9520207047581127,0.6474669890467208,0.740016864331938,0.21190855941419146,0.15449194707741473,0.7693032592633897,0.7804014167650533,0.6615378592122774,0.6908850601840926,0.756881784017855,0.7599642175352526,0.6032350284148158,0.26741540201605585,0.7723493222110275,0.47302270333463564,0.3338114321416563,0.3557381515189286,0.5812790937547719,0.19409393540165887,0.4168470972645417,0.5528776650473254,0.9999999999999999,1.0,1.0,1.0,1.0,0.49307754924732755,0.5711746405986885,0.42136795835199353,0.5414300283784549,0.632977643874024,0.24312546957175074,0.32624047006304097,0.2990707993612721,0.29314647562989443,0.4006606976443107,0.2962962962962963,0.29898862199747156,0.2976190476190476,0.29857022708158115,0.298197820620285,0.45059078852182294,0.619705431408357,0.33110039576036027,0.2966772203502154,0.4403712228416847,0.1818181818181818,0.1086355504960156,0.021052631578947368,0.22438369948012749,0.02526315789473684,0.7892561983471074,0.5607017525031929,0.4863157894736842,0.5642254660898254,0.5382456140350877,0.1798107255520505,0.06488549618320609,0.009918458117123795,0.03908998514580564,0.020038610615633605,0.8181818181818181,0.8405919661733615,0.8074856712409524,0.3243105209397344,0.9020060110435453,0.3322314049586777,0.3745894100643805,0.5989016018306637,0.28036043283078593,0.4294472029129427,1,0,0.8185411416795494,0.0,0
delaware-and-hudson,0.3077841927135178,0.6434174521131043,0.7146325898442365,0.20185330413554664,0.1560323243701215,0.767044063027187,0.9627329192546581,0.36658249158249134,0.406358643623721,0.27222968350100096,0.4068766328754556,0.9658402439371898,0.15793653195132887,0.3859668165422957,0.12135636727359525,0.21671505647955136,0.0,0.7436788231113941,0.5977812597198456,0.8139610082013738,0.7547656684841554,0.9999999999999999,0.0,0.0,0.0,1.0,0.17373328834652896,0.7382822358966314,0.6385740496640222,0.8765268150720388,0.8484208924738955,0.030183255479698176,0.5450606598405293,0.5228075295491024,0.7682992575403321,0.7198180107862012,0.05432098765432099,0.05562579013906448,0.05576441102756892,0.055508830950378465,0.05553227158424141,0.22576404105639486,0.44429510155316604,0.26444796208714905,0.21046052680981486,0.29779102652296874,0.1818181818181818,0.1451048951048951,0.033707865168539325,0.2325685007796837,0.03932584269662921,0.8478260869565217,0.33839986155976004,0.1797752808988764,0.24302311158887008,0.29213483146067415,0.1798107255520505,0.06488549618320609,0.0,0.09860011178568885,0.03439616571086572,0.5652173913043478,0.1590909090909091,0.316410647238556,0.1061058344640434,0.23799931360699522,0.23478260869565218,0.1955572675911659,0.32975085490962386,0.09665299369204783,0.1742633029467882,0,0,0.2429882128330283,1.0,1
dovetail,0.7720485765478798,0.6508731057772459,0.7410622545613286,0.21527171642271484,0.15296675749973468,0.7693406852463188,0.6714285714285715,0.2814009661835746,0.36719336399853697,0.4220186171769802,0.3603111183401597,0.3821094321049291,0.14399945390203087,0.39098302866850126,0.16902795810253599,0.21948616724869555,0.5746558549569227,0.7974509128291648,0.5373871663908215,0.7431640710054928,0.7621730640272983,0.6666666666666666,0.0,0.0,0.0,0.0,0.4885961988246598,0.6972086892137664,0.7559620734695671,0.7459838921572612,0.8202082698006703,0.23872624550590654,0.4860999563151783,0.6634262880822,0.5564919673580964,0.672741605849409,0.145679012345679,0.14538558786346398,0.14598997493734334,0.14550042052144657,0.14564124056999161,0.5526613616268787,0.5537998026076567,0.35674620985900346,0.30225005149037387,0.4416521544738686,0.1818181818181818,0.16822742474916386,0.02145922746781116,0.2305712815234174,0.03658536585365854,0.8083333333333333,0.32788567645111455,0.3605150214592275,0.43418664628904385,0.3902439024390244,0.1798107255520505,0.06488549618320609,0.020220032642205163,0.03908998514580564,0.023496266705501652,0.4666666666666667,0.29217391304347823,0.42204304664944936,0.13103448275862067,0.3315289773474252,0.3066666666666667,0.1729304839105871,0.28941966784847917,0.13754612301239677,0.18423973362930077,0,0,0.3723115518704223,1.0,1
eleven-madison-park,0.9677483575552459,0.6484031019148077,0.7433251396899963,0.21196637707737973,0.1511089227588106,0.7691178301706716,0.7456828885400315,0.7098940300073444,0.7394190557766915,0.5990081315342684,0.7444831747720371,0.49883213984047703,0.3428992600896381,0.906995279554734,0.24540833687972408,0.32140366663456954,0.4176337875474065,0.5061069952159034,0.11555848937623259,0.6271417831343631,0.5698738750848084,0.9999999999999999,1.0,1.0,1.0,1.0,0.5391952250636969,0.5474203886526318,0.331927226376109,0.6706298736309556,0.6472486331872516,0.29073149073149074,0.29966908191259845,0.2206979705951064,0.44974442740627146,0.4189307931627653,0.2222222222222222,0.2231352718078382,0.22305764411027568,0.2228763666947014,0.22296730930427494,0.44835164835164826,0.6612767844148635,0.45456940168782106,0.4222840859259492,0.5496146461801015,0.1908091908091908,0.15341032904772278,0.0056179775280898875,0.22623723487824038,0.026735459662288928,0.7362637362637363,0.567765778461627,0.5842696629213483,0.43173723783142065,0.5309568480300187,0.1798107255520505,0.07205414873602489,0.019850846652951417,0.03908998514580564,0.025578751882197326,0.684981684981685,0.8487252124645892,0.9796885815568124,0.3319207108680793,0.9646218129358738,0.2175824175824176,0.3770906355532082,0.6785539814362482,0.3018111097605445,0.444121915820029,0,1,0.8808455772760403,0.0,0
faro,0.23472028668126615,0.680161943319838,0.6438410409966361,0.23200325063953356,0.19478033169728537,0.768784229024289,0.6616541353383458,0.3335941575378194,0.30885650224215233,0.36791800289253596,0.33857543367793985,0.3662132538687674,0.12087517125712646,0.316292471931384,0.13814712849007058,0.19949067898192605,0.4811910662085698,0.789565463704138,0.6124958633387529,0.7930061604149915,0.7856561670753086,0.9999999999999999,0.0,0.0,0.0,0.0,0.7407052977520968,0.7525132378276577,0.8573782425345342,0.7901594215894738,0.8929135402212264,0.5486443381180225,0.566276173105865,0.7960429242119382,0.6243519115266117,0.7972945903104037,0.04444444444444444,0.04487989886219975,0.045112781954887216,0.044575273338940284,0.04484492875104778,0.2755270138210247,0.3273091355781042,0.27657735522904064,0.20817225755497365,0.26678184501313756,0.354066985645933,0.24593716143011912,0.013888888888888888,0.27860696517412936,0.08333333333333333,0.5789473684210527,0.16585043254450563,0.2222222222222222,0.26336308607776754,0.20833333333333334,0.1798107255520505,0.06488549618320609,0.06543427230046948,0.03908998514580564,0.038567771115082736,0.5438596491228069,0.4338028169014084,0.531252160685888,0.0,0.34768334071122914,0.11578947368421054,0.3260125726108061,0.36594202898550726,0.15554700196732527,0.24790356394129975,0,0,0.41257483723957034,1.0,0
gramercy-tavern,0.9715309575950627,0.6473294311408044,0.740532156767839,0.21152617423549627,0.15666830912736548,0.769218044689986,0.8486238532110091,0.6472974741525976,0.6748826537026948,0.695723103002091,0.7391772871066347,0.5134612608308115,0.2863495427077075,0.738187258036585,0.36771350495973887,0.33144866915686083,0.40422603375535804,0.6076400801737628,0.2372266368540178,0.5090421544475616,0.5764196307027007,0.9999999999999999,1.0,1.0,1.0,1.0,0.35640703959016085,0.5150767546442776,0.39663072026054574,0.590729326483398,0.6089549774317682,0.12702597786942246,0.2653040631748814,0.27659184305519746,0.3489611371675291,0.3708261645389252,0.5358024691358025,0.5366624525916561,0.5363408521303258,0.5365853658536586,0.5364626990779547,0.44048134718808546,0.47925382732936206,0.3010883569334163,0.26325238607360457,0.36503106502628563,0.20058381984987486,0.2041315574884479,0.05724299065420561,0.25197953892509284,0.06791569086651054,0.7798165137614679,0.4584880390785218,0.44509345794392524,0.4304032876854851,0.45550351288056207,0.1798107255520505,0.10661397782752945,0.07154962485191523,0.18572330970683246,0.09682370325875038,0.7370030581039755,0.6760895170789163,0.5766797131707657,0.24558258642765685,0.6674317561914714,0.3467889908256881,0.3879139965263221,0.5875660300690777,0.26432033308395403,0.42690704490890075,0,0,0.699035326625145,0.0,0
kajitsu,0.060521600637069475,0.6537681689886611,0.716547702246227,0.22130900635527978,0.17574389923402522,0.9999999999999999,0.5714285714285714,1.0,1.0,1.0,0.9370071841598042,0.0,0.0,0.0,0.0,0.34975834109597603,0.883220608395573,1.0,1.0,1.0,0.7433592376460783,0.6666666666666666,1.0,1.0,1.0,1.0,0.6310746041659502,0.6910184300334196,0.5998726655870714,0.6682678072621301,0.30699223879600224,0.44483686255330407,0.49449049859039657,0.4962709493507853,0.47003463044851806,0.09424423468098166,0.0,0.0006321112515802782,0.0006265664160401002,0.0,0.00041911148365465214,0.45464190981432356,0.4235364396654719,0.22774416594641314,0.040249235651534515,0.29122125040492386,0.1818181818181818,0.07692307692307691,0.0,0.17910447761194032,0.0,1.0,1.0,1.0,1.0,1.0,0.1798107255520505,0.06488549618320609,0.0,0.03908998514580564,0.016728189881240706,0.3333333333333333,0.0,0.1505911636589919,0.018181818181818177,0.0,0.2,0.2090395480225989,0.391304347826087,1.0,0.6132075471698113,0,0,0.5994124229729042,0.0,0
ko,0.01712124228548676,0.6537681689886611,0.716547702246227,0.22130900635527978,0.17574389923402522,0.7692307692307692,1.0,0.35185185185185164,0.3856502242152464,1.0,0.7480287366392151,0.0,0.0,0.0,0.0,0.0,0.883220608395573,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.0,0.5,0.6310746041659502,0.6910184300334196,0.5998726655870714,0.6682678072621301,0.35448410341599557,0.44483686255330407,0.49449049859039657,0.4962709493507853,0.47003463044851806,0.12565897957464223,0.0,0.0006321112515802782,0.0006265664160401002,0.0,0.00041911148365465214,1.0,0.9999999999999999,1.0,0.4093037656256047,1.0,0.1818181818181818,0.07692307692307691,0.0,0.17910447761194032,0.0,1.0,1.0,1.0,0.00554016620498615,0.75,0.1798107255520505,0.06488549618320609,0.0,0.03908998514580564,0.016728189881240706,0.3333333333333333,0.0,0.1505911636589919,0.9999999999999999,0.7221115537848606,1.0,0.2090395480225989,0.391304347826087,1.0,0.9999999999999999,1,0,0.6893318355162779,0.0,0
la-sirena,0.40891897272546285,0.6537681689886611,0.7420472440944883,0.21143847487001732,0.17574389923402522,0.0,1.0,0.435216735619417,0.46425516451454696,0.3904923599320882,0.7480287366392151,0.0,0.1919125340159297,0.47152385557278365,0.0,0.25923599835091143,0.883220608395573,0.7129474805491575,0.49988461551140284,1.0,1.0,0.9999999999999999,0.523076923076923,0.5,0.0,0.5,0.6310746041659502,0.6910184300334196,0.5998726655870714,0.6682678072621301,0.35448410341599557,0.44483686255330407,0.49449049859039657,0.4962709493507853,0.47003463044851806,0.12565897957464223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.2743046753442554,0.08411493923296048,0.17910447761194032,0.75,0.5,0.3131393305128371,0.3071218586380739,0.00554016620498615,0.0,0.1798107255520505,0.09469909099894952,0.03620005413126244,0.03908998514580564,0.016728189881240706,0.3333333333333333,0.40747319453573194,0.454268806217129,0.018181818181818177,0.0,0.2,0.22630328898576207,0.42458386264290743,1.0,0.9999999999999999,0,0,0.31390403676530343,1.0,1
meadowsweet,0.29902448735815246,0.6351084812623274,0.7072407953009245,0.21116202285923955,0.2056293113482328,0.7679533853130327,0.8516483516483517,0.4916485112563542,0.307350742987778,0.4221550944810706,0.4439396386744896,0.7887627076484917,0.2126351304132511,0.31931968442307274,0.22413864973399528,0.23582440286614034,0.18539216615780718,0.6629626256804366,0.6477852643535249,0.6680796829962523,0.7162772502184953,0.9999999999999999,1.0,0.0,0.0,1.0,0.44939742095170276,0.6718740480363463,0.7668099094530039,0.7662944974476616,0.826344645373927,0.20195804195804193,0.45141473642474667,0.6771186362333712,0.5872072568185642,0.6828454729381612,0.0617283950617284,0.06447534766118837,0.06390977443609022,0.063919259882254,0.06391450125733444,0.21871046725158128,0.3845140206620282,0.2641635738132764,0.21319630097059566,0.27637808652233964,0.30769230769230765,0.40045248868778277,0.10784313725490197,0.41170769528978485,0.1758957654723127,0.7307692307692308,0.27174778540857975,0.10784313725490197,0.3025866100658344,0.24104234527687296,0.1798107255520505,0.06488549618320609,0.0,0.03908998514580564,0.016728189881240706,0.5384615384615384,0.5215686274509804,0.5433092963383237,0.13293978748524202,0.4798395992576924,0.2923076923076923,0.24393486208042542,0.2659846547314578,0.16013316937104463,0.21633581218118123,0,0,0.46006153365928637,1.0,0
the-modern,0.9072267569181764,0.6509858846700952,0.7353934949189428,0.2105422496322366,0.15762789593998464,0.7696317640279777,0.5885714285714285,0.4390166028097062,0.57921248233921,0.6855051902845934,0.5771715101137516,0.41330096000177974,0.1929507874055671,0.615154296989831,0.4045822559321346,0.27560108840760345,0.557953342964441,0.7339387062420561,0.34195904911692154,0.49435099361622137,0.6697233907436674,0.6666666666666666,0.0,1.0,1.0,1.0,0.5817874684768128,0.591175231292016,0.5171254794171467,0.5792840256160036,0.6893734151030231,0.33847665847665853,0.3494881540931687,0.3918740739246317,0.33556998233388263,0.47523570545080496,0.18271604938271604,0.18331226295828068,0.18295739348370926,0.18334735071488645,0.183151718357083,0.41517241379310343,0.5243439212293494,0.3620531961497022,0.32942451333255934,0.42640000118333915,0.2145454545454545,0.21140583554376657,0.0547945205479452,0.21999591085667555,0.06335616438356165,0.6733333333333333,0.439252581830912,0.4965753424657534,0.609481526454926,0.4931506849315068,0.1798107255520505,0.06488549618320609,0.008067239050742813,0.03908998514580564,0.019420740992262327,0.5111111111111111,0.5213793103448275,0.4249558864897579,0.210958904109589,0.4781103894922593,0.22133333333333335,0.3154100915643873,0.5851697438951757,0.2844759403967224,0.38360472128887735,1,0,0.5292659658874097,0.0,0
peter-luger,0.9649611785785388,0.6458545906821769,0.7410002203496963,0.2115319697299421,0.15628076254363937,0.7692163324249356,0.6833216045038706,0.3485742379547685,0.3783365364082849,0.4155897333466494,0.39033932486794587,0.4647846673039306,0.1450636955010066,0.3661846922253962,0.18072703644995186,0.21673812375939697,0.4287176031223315,0.7683304897877431,0.5737348200037076,0.7171930566956644,0.7543234812124973,0.9999999999999999,0.0,0.0,1.0,0.0,0.6386891198633636,0.7322195687214083,0.7303384408692954,0.8019536442115373,0.8548365085897296,0.4079237918318381,0.5361454968185652,0.631552399434172,0.6431296474641648,0.7307454564178788,1.0,1.0,1.0,1.0,1.0,0.3488011394075603,0.4795251084859991,0.29391786510355405,0.24142308496601944,0.34631573218989753,0.4055082848186296,0.761499562384518,0.2236842105263158,0.5493540699862034,0.3377670716380394,0.5049261083743842,0.0,0.006265664160401002,0.008047207802788706,0.004817762882279012,0.22764215008313782,0.1192711902027581,0.05018267499735254,0.12117895395199749,0.07898060325160569,0.5139573070607553,0.26017699115044246,0.3962925359447155,0.146890756302521,0.3291400798148003,0.22561576354679805,0.20303984800759964,0.32151029748283755,0.14094164224581285,0.1943309277454134,0,0,0.43590424942464545,1.0,0
